🕘️更新时间,#genre#
2026-04-25 08:41:27,http://111.14.186.11:5009/hls/1/index.m3u8

📺央视频道,#genre#
CCTV-1,http://111.14.186.11:5009/hls/1/index.m3u8
CCTV-1,http://14.106.98.202:888/hls/1/index.m3u8
CCTV-1,http://183.129.255.66:8480/hls/1/index.m3u8
CCTV-1,http://58.255.201.222:808/hls/1/index.m3u8
CCTV-1,http://60.16.0.36:5757/hls/1/index.m3u8
CCTV-1,http://59.45.161.118:8877/hls/1/index.m3u8
CCTV-1,http://210.76.37.57:1234/hls/11/index.m3u8
CCTV-1,http://hmfs.f3322.net:3388/hls/1/index.m3u8
CCTV-1,http://61.182.89.14:808/hls/1/index.m3u8
CCTV-1,http://42.49.176.207:808/hls/1/index.m3u8
CCTV-2,http://111.14.186.11:5009/hls/2/index.m3u8
CCTV-2,http://123.14.80.113:8888/hls/2/index.m3u8
CCTV-2,http://14.106.98.202:888/hls/2/index.m3u8
CCTV-2,http://58.255.201.222:808/hls/2/index.m3u8
CCTV-2,http://60.16.0.36:5757/hls/2/index.m3u8
CCTV-2,http://42.49.176.207:808/hls/2/index.m3u8
CCTV-2,http://183.129.255.66:8480/hls/2/index.m3u8
CCTV-2,http://114.252.121.120:8899/hls/2/index.m3u8
CCTV-2,http://59.45.161.118:8877/hls/2/index.m3u8
CCTV-2,http://210.76.37.57:1234/hls/12/index.m3u8
CCTV-3,http://111.14.186.11:5009/hls/3/index.m3u8
CCTV-3,http://58.255.201.222:808/hls/3/index.m3u8
CCTV-3,http://123.14.80.113:8888/hls/3/index.m3u8
CCTV-3,http://59.45.161.118:8877/hls/3/index.m3u8
CCTV-3,http://210.76.37.57:1234/hls/13/index.m3u8
CCTV-3,http://183.129.255.66:8480/hls/3/index.m3u8
CCTV-3,http://61.182.89.14:808/hls/3/index.m3u8
CCTV-3,http://113.200.114.168:20000/hls/3/index.m3u8
CCTV-3,http://42.49.176.207:808/hls/3/index.m3u8
CCTV-3,http://60.16.0.36:5757/hls/3/index.m3u8
CCTV-4,http://111.14.186.11:5009/hls/4/index.m3u8
CCTV-4,http://58.255.201.222:808/hls/4/index.m3u8
CCTV-4,http://222.85.50.229:6070/hls/4/index.m3u8
CCTV-4,http://114.252.121.120:8899/hls/4/index.m3u8
CCTV-4,http://114.252.114.191:8899/hls/4/index.m3u8
CCTV-4,http://59.45.161.118:8877/hls/4/index.m3u8
CCTV-4,http://42.49.176.207:808/hls/4/index.m3u8
CCTV-4,http://60.16.0.36:5757/hls/4/index.m3u8
CCTV-4,http://219.139.124.61:8089/hls/40/index.m3u8
CCTV-4,http://61.182.89.14:808/hls/4/index.m3u8
CCTV-5,http://111.14.186.11:5009/hls/5/index.m3u8
CCTV-5,http://183.129.255.66:8480/hls/5/index.m3u8
CCTV-5,http://113.200.114.168:20000/hls/5/index.m3u8
CCTV-5,http://58.255.201.222:808/hls/5/index.m3u8
CCTV-5,http://60.16.0.36:5757/hls/5/index.m3u8
CCTV-5,http://59.45.161.118:8877/hls/5/index.m3u8
CCTV-5,http://42.49.176.207:808/hls/6/index.m3u8
CCTV-5,http://123.14.80.113:8888/hls/18/index.m3u8
CCTV-5,http://210.76.37.57:1234/hls/15/index.m3u8
CCTV-5,http://42.49.176.207:808/hls/5/index.m3u8
CCTV-5+,http://183.129.255.66:8480/hls/6/index.m3u8
CCTV-5+,http://222.142.187.230:8888/hls/3/index.m3u8
CCTV-5+,http://222.142.187.230:9003/hls/3/index.m3u8
CCTV-5+,http://222.142.185.10:9003/hls/3/index.m3u8
CCTV-5+,http://60.16.0.36:5757/hls/6/index.m3u8
CCTV-5+,http://222.142.185.10:8888/hls/3/index.m3u8
CCTV-5+,http://210.76.37.57:1234/hls/28/index.m3u8
CCTV-5+,http://111.14.186.11:5009/hls/16/index.m3u8
CCTV-5+,http://221.11.56.114:8888/hls/16/index.m3u8
CCTV-6,http://111.14.186.11:5009/hls/6/index.m3u8
CCTV-6,http://123.14.80.113:8888/hls/6/index.m3u8
CCTV-6,http://114.252.121.120:8899/hls/6/index.m3u8
CCTV-6,http://183.129.255.66:8480/hls/7/index.m3u8
CCTV-6,http://42.49.176.207:808/hls/7/index.m3u8
CCTV-6,http://58.255.201.222:808/hls/6/index.m3u8
CCTV-6,http://60.16.0.36:5757/hls/7/index.m3u8
CCTV-6,http://59.45.161.118:8877/hls/6/index.m3u8
CCTV-6,http://210.76.37.57:1234/hls/16/index.m3u8
CCTV-6,http://113.200.114.168:20000/hls/6/index.m3u8
CCTV-7,http://111.14.186.11:5009/hls/7/index.m3u8
CCTV-7,http://114.252.114.191:8899/hls/7/index.m3u8
CCTV-7,http://183.129.255.66:8480/hls/8/index.m3u8
CCTV-7,http://58.255.201.222:808/hls/7/index.m3u8
CCTV-7,http://60.16.0.36:5757/hls/8/index.m3u8
CCTV-7,http://59.45.161.118:8877/hls/7/index.m3u8
CCTV-7,http://123.14.80.113:8888/hls/7/index.m3u8
CCTV-7,http://210.76.37.57:1234/hls/17/index.m3u8
CCTV-7,http://61.182.89.14:808/hls/7/index.m3u8
CCTV-7,http://42.49.176.207:808/hls/8/index.m3u8
CCTV-8,http://111.14.186.11:5009/hls/8/index.m3u8
CCTV-8,http://183.129.255.66:8480/hls/9/index.m3u8
CCTV-8,http://114.252.121.120:8899/hls/8/index.m3u8
CCTV-8,http://210.76.37.57:1234/hls/18/index.m3u8
CCTV-8,http://59.45.161.118:8877/hls/8/index.m3u8
CCTV-8,http://60.16.0.36:5757/hls/9/index.m3u8
CCTV-8,http://42.49.176.207:808/hls/9/index.m3u8
CCTV-8,http://58.255.201.222:808/hls/8/index.m3u8
CCTV-8,http://113.200.114.168:20000/hls/8/index.m3u8
CCTV-8,http://123.14.80.113:8888/hls/8/index.m3u8
CCTV-9,http://111.14.186.11:5009/hls/9/index.m3u8
CCTV-9,http://58.255.201.222:808/hls/9/index.m3u8
CCTV-9,http://123.14.80.113:8888/hls/9/index.m3u8
CCTV-9,http://183.129.255.66:8480/hls/10/index.m3u8
CCTV-9,http://60.16.0.36:5757/hls/10/index.m3u8
CCTV-9,http://114.252.121.120:8899/hls/9/index.m3u8
